iter	Logloss
0	0.6648201976
1	0.6458033663
2	0.6267738253
3	0.6069963523
4	0.5951291073
5	0.5820987836
6	0.5725164077
7	0.5658959243
8	0.5577937227
9	0.5530819164
10	0.5480025348
11	0.5419153191
12	0.530599078
13	0.527021987
14	0.5221419031
15	0.5199398265
16	0.517085679
17	0.5127441765
18	0.5085362692
19	0.5048611989
20	0.5016196576
21	0.4984165326
22	0.4956686581
23	0.4925072524
24	0.4865402401
25	0.4846360869
26	0.4808277803
27	0.4783819939
28	0.4740738813
29	0.4674934656
30	0.4656881175
31	0.4636295812
32	0.4597298297
33	0.4571980196
34	0.4540009622
35	0.4516793285
36	0.4496228027
37	0.4474845258
38	0.4441027114
39	0.4415540987
40	0.4397350356
41	0.4380628878
42	0.4356576718
43	0.4340918328
44	0.4311412138
45	0.428706665
46	0.4249887983
47	0.4240555348
48	0.4210978788
49	0.4198038976
50	0.4177810489
51	0.4147611371
52	0.4119803395
53	0.4099526439
54	0.4089438046
55	0.4069588336
56	0.4045014146
57	0.4028581687
58	0.3998561724
59	0.3985518871
60	0.3965804515
61	0.3929202091
62	0.3898059441
63	0.3880123004
64	0.3867580279
65	0.3849475098
66	0.3827518957
67	0.3816814467
68	0.379492726
69	0.3774341179
70	0.3766078455
71	0.3741683421
72	0.3721060001
73	0.3705166805
74	0.3680396944
75	0.3665333826
76	0.3646890797
77	0.3622937012
78	0.3601159668
79	0.3584748033
80	0.3569808421
81	0.3554931641
82	0.3533381204
83	0.3520132626
84	0.3476664465
85	0.3453290872
86	0.3414365522
87	0.3400338566
88	0.3386297607
89	0.3365676341
90	0.3350005026
91	0.333622616
92	0.3320537253
93	0.3303535731
94	0.3290687471
95	0.3273920037
96	0.3252592558
97	0.3232326373
98	0.3215100816
99	0.3202775663
