iter	Passed	Remaining
0	2	260
1	4	223
2	6	217
3	8	213
4	10	207
5	13	204
6	15	199
7	17	198
8	19	194
9	21	191
10	23	189
11	25	188
12	27	186
13	29	184
14	32	182
15	34	179
16	36	178
17	38	177
18	41	175
19	43	172
20	45	170
21	47	167
22	49	165
23	51	163
24	53	161
25	55	158
26	57	156
27	60	155
28	62	153
29	64	150
30	66	149
31	68	146
32	71	144
33	73	142
34	75	139
35	77	137
36	79	135
37	81	132
38	83	130
39	85	128
40	87	125
41	89	123
42	91	121
43	93	118
44	95	116
45	97	115
46	99	112
47	102	111
48	104	109
49	106	106
50	109	104
51	111	102
52	113	100
53	115	98
54	117	96
55	119	94
56	122	92
57	125	90
58	128	89
59	129	86
60	131	84
61	134	82
62	136	79
63	138	77
64	140	75
65	142	73
66	144	71
67	146	69
68	149	67
69	151	64
70	153	62
71	155	60
72	157	58
73	159	55
74	161	53
75	163	51
76	165	49
77	167	47
78	169	45
79	171	42
80	173	40
81	175	38
82	177	36
83	179	34
84	181	32
85	184	29
86	186	27
87	188	25
88	190	23
89	192	21
90	194	19
91	195	17
92	198	14
93	199	12
94	201	10
95	203	8
96	205	6
97	207	4
98	209	2
99	211	0
