iter	Passed	Remaining
0	133	133458
1	135	67777
2	138	45895
3	140	35003
4	142	28421
5	145	24044
6	147	20982
7	150	18627
8	152	16808
9	154	15327
10	157	14136
11	159	13150
12	161	12289
13	164	11575
14	166	10950
15	169	10397
16	171	9910
17	173	9480
18	176	9096
19	178	8755
20	181	8450
21	183	8160
22	185	7885
23	188	7656
24	190	7431
25	192	7224
26	194	7021
27	196	6834
28	199	6667
29	201	6511
30	203	6356
31	205	6207
32	207	6073
33	209	5960
34	211	5842
35	214	5730
36	216	5629
37	218	5538
38	220	5444
39	223	5356
40	225	5279
41	228	5201
42	230	5121
43	232	5042
44	234	4973
45	236	4897
46	238	4830
47	240	4779
48	243	4735
49	246	4675
50	248	4619
51	250	4567
52	252	4516
53	255	4469
54	257	4417
55	259	4376
56	261	4328
57	263	4282
58	265	4238
59	267	4196
60	269	4153
61	272	4115
62	274	4079
63	276	4040
64	278	4006
65	280	3971
66	282	3935
67	284	3904
68	286	3870
69	289	3841
70	291	3811
71	293	3783
72	295	3755
73	297	3728
74	299	3699
75	302	3671
76	303	3642
77	305	3616
78	308	3590
79	309	3564
80	312	3539
81	313	3515
82	316	3491
83	317	3466
84	319	3442
85	322	3423
86	324	3402
87	326	3379
88	327	3357
89	329	3335
90	331	3314
91	333	3292
92	335	3274
93	337	3257
94	340	3239
95	342	3221
96	344	3204
97	346	3185
98	347	3166
99	350	3150
100	352	3135
101	354	3120
102	356	3106
103	358	3091
104	360	3074
105	362	3057
106	364	3043
107	366	3026
108	368	3012
109	371	3002
110	373	2989
111	375	2975
112	377	2960
113	379	2946
114	381	2932
115	383	2918
116	385	2908
117	387	2898
118	389	2885
119	391	2872
120	393	2859
121	395	2847
122	397	2835
123	399	2824
124	402	2815
125	404	2805
126	406	2795
127	408	2784
128	410	2773
129	412	2763
130	415	2753
131	417	2745
132	419	2736
133	421	2725
134	423	2715
135	425	2705
136	428	2697
137	430	2687
138	432	2678
139	434	2670
140	436	2661
